;A549CM8_S5-READs;A549CM4_S8-READs;A549CM1_S5-READs;A549CM2_S6-READs;A549KM4_S4-READs;A549KM1_S2-READs;A549CM3_S7-READs;A549KM0220321_S1-READs;A549KM2_S3-READs
hsa-miR-28-3p;3,467;764;1,798;2,327;1,643;1,388;1,987;2,291;7,548
hsa-miR-28-5p;146;135;113;183;105;216;145;70;728
hsa-miR-296-3p;25;8;7;20;9;6;17;10;42
hsa-miR-296-5p;2;2;2;4;3;1;0;0;10
hsa-miR-298;5;0;1;4;2;1;1;4;12
hsa-miR-299-3p;10;1;7;6;9;7;14;21;48
hsa-miR-299-5p;57;20;24;42;30;37;46;41;180
hsa-miR-29a-3p;49,488;19,806;26,389;33,859;19,855;19,063;34,217;26,283;91,118
hsa-miR-29a-5p;219;290;173;277;130;239;207;74;753
hsa-miR-29b-1-5p;222;84;109;177;75;107;132;161;419
hsa-miR-29b-2-5p;43;17;33;45;17;21;29;14;93
hsa-miR-29b-3p;29,861;15,017;18,767;23,844;12,196;13,648;19,744;15,253;53,216
hsa-miR-29c-3p;5,449;2,910;3,359;4,280;2,755;2,318;4,068;2,767;11,740
hsa-miR-29c-5p;292;159;204;306;192;161;256;127;770
hsa-miR-300;1;0;0;3;2;2;2;0;11
hsa-miR-301a-3p;605;372;419;566;575;530;497;528;2,581
hsa-miR-301a-5p;29;18;18;30;42;52;13;40;215
hsa-miR-301b-3p;19;17;5;15;14;5;14;8;29
hsa-miR-301b-5p;4;3;2;5;2;3;5;1;13
hsa-miR-302a-5p;19;3;13;8;0;0;11;0;1
hsa-miR-302b-3p;13;7;2;4;1;1;2;2;1
hsa-miR-302b-5p;87;61;73;117;82;64;74;32;396
hsa-miR-302c-5p;1;1;1;1;4;4;0;1;21
hsa-miR-302f;16;34;15;22;9;24;21;8;105
hsa-miR-3064-5p;9;1;4;5;1;6;3;1;24
hsa-miR-30a-3p;1,465;394;862;708;1,215;843;683;1,136;4,406
hsa-miR-30a-5p;27,632;9,296;14,859;18,314;21,980;22,738;17,241;22,939;111,177
hsa-miR-30b-3p;20;7;10;14;11;12;16;11;63
hsa-miR-30b-5p;1,416;856;900;1,042;1,045;1,014;993;894;4,467
hsa-miR-30c-1-3p;21;3;13;9;15;21;9;25;107
hsa-miR-30c-2-3p;225;43;109;149;241;262;128;312;1,176
hsa-miR-30c-5p;4,545;1,812;2,297;3,175;3,926;4,290;2,683;4,340;17,644
hsa-miR-30d-3p;142;54;97;119;101;82;81;87;443
hsa-miR-30d-5p;11,433;3,185;6,968;10,257;6,688;7,185;8,834;6,426;36,637
hsa-miR-30e-3p;303;105;191;187;308;186;177;217;1,109
hsa-miR-30e-5p;5,595;3,003;3,689;5,168;5,646;6,021;4,239;5,061;28,080
hsa-miR-31-3p;788;540;503;612;828;845;567;756;3,662
hsa-miR-31-5p;68,592;24,513;38,759;57,928;47,991;52,985;53,114;55,136;247,688
hsa-miR-3115;2;1;2;0;4;2;1;3;14
hsa-miR-3116;4;2;1;3;5;4;0;3;20
hsa-miR-3118;51;20;35;42;54;59;33;51;271
hsa-miR-3122;48;9;27;32;26;31;29;36;133
hsa-miR-3124-3p;2;2;2;0;2;5;1;3;18
hsa-miR-3127-5p;2;0;3;5;4;1;3;4;15
hsa-miR-3128;7;4;7;8;9;3;1;5;25
hsa-miR-3129-3p;18;12;9;30;12;15;20;7;73
hsa-miR-3129-5p;20;3;11;6;13;4;11;8;49
hsa-miR-3130-3p;3;0;2;1;1;3;5;5;24
hsa-miR-3130-5p;4;3;10;7;4;5;8;7;25
hsa-miR-3132;1;1;2;0;2;1;0;4;11
hsa-miR-3133;7;1;4;11;9;8;8;6;44
hsa-miR-3134;1;1;3;2;1;3;0;3;14
hsa-miR-3135b;9;4;11;21;4;3;9;8;32
hsa-miR-3136-3p;7;3;7;7;9;23;5;2;48
hsa-miR-3136-5p;5;3;9;10;0;6;5;7;19
hsa-miR-3138;5;0;3;9;3;3;3;4;25
hsa-miR-3140-3p;7;0;1;6;5;3;6;2;21
hsa-miR-3141;86;22;84;208;38;25;119;50;201
hsa-miR-3143;1;0;1;0;5;1;1;3;18
hsa-miR-3144-3p;12;11;13;15;19;11;15;8;58
hsa-miR-3144-5p;31;4;11;28;20;8;19;33;125
hsa-miR-3145-3p;3;0;2;1;3;0;4;1;14
hsa-miR-3146;1;1;1;5;5;5;2;2;15
hsa-miR-3149;4;2;1;2;5;2;1;4;24
hsa-miR-3150a-3p;13;2;8;9;12;13;10;19;67
hsa-miR-3150b-3p;4;0;1;69;6;7;51;3;140
hsa-miR-3151-3p;2;3;4;7;5;2;1;5;24
hsa-miR-3151-5p;2;0;0;6;0;3;2;0;38
hsa-miR-3152-3p;3;3;1;0;1;1;3;1;19
hsa-miR-3152-5p;5;2;5;9;5;4;10;15;38
hsa-miR-3153;20;6;11;14;20;25;7;39;140
hsa-miR-3157-5p;7;4;7;14;9;9;10;9;52
hsa-miR-3158-3p;3;3;6;10;4;7;6;2;38
hsa-miR-3160-5p;1;2;2;1;1;1;0;5;25
hsa-miR-3167;1;4;2;8;5;2;7;0;26
hsa-miR-3168;24;28;242;1,206;163;137;520;113;2,501
hsa-miR-3170;2;0;5;7;3;8;6;7;23
hsa-miR-3173-3p;5;4;6;4;10;2;5;6;26
hsa-miR-3173-5p;48;14;27;50;30;32;29;30;119
hsa-miR-3174;7;3;16;15;10;12;10;6;38
hsa-miR-3175;49;4;23;37;7;4;33;17;24
hsa-miR-3176;16;11;17;38;16;17;20;16;93
hsa-miR-3178;2;3;0;2;1;2;4;3;11
hsa-miR-3179;4;0;7;3;2;5;3;5;18
hsa-miR-3180;2;0;1;2;0;1;4;2;13
hsa-miR-3182;4;1;3;5;8;3;4;1;19
hsa-miR-3187-3p;20;4;16;18;14;12;17;12;56
hsa-miR-3192-3p;3;0;0;4;2;5;3;2;16
hsa-miR-3192-5p;4;0;3;5;5;3;5;8;22
hsa-miR-3193;2;2;2;1;1;2;1;3;14
hsa-miR-3194-5p;7;3;2;6;5;6;4;6;39
hsa-miR-32-3p;50;12;47;27;30;32;30;42;133
hsa-miR-32-5p;1,131;947;824;1,058;680;889;1,018;453;3,728
hsa-miR-3200-3p;16;3;15;17;16;8;16;16;95
hsa-miR-3200-5p;3;1;2;1;1;3;0;1;14
hsa-miR-3201;3;0;0;2;3;3;2;5;23
hsa-miR-320a;4,276;931;2,687;5,357;2,054;2,705;4,029;2,386;13,644
hsa-miR-320b;302;98;178;343;212;237;245;185;1,201
hsa-miR-320c;305;87;229;356;167;198;284;130;899
hsa-miR-320d;76;30;52;85;48;59;56;48;303
hsa-miR-320e;10;6;4;14;5;5;11;7;50
hsa-miR-323a-3p;60;21;44;56;47;49;41;63;255
hsa-miR-323b-3p;19;5;11;14;13;15;16;16;88
hsa-miR-324-3p;134;44;96;206;142;164;181;126;760
hsa-miR-324-5p;219;84;188;263;125;109;217;126;629
hsa-miR-325;30;14;20;28;16;21;12;12;96
hsa-miR-326;19;7;15;24;26;27;22;27;167
hsa-miR-328-3p;31;10;31;57;28;28;44;44;136
hsa-miR-328-5p;3;1;3;3;1;0;3;2;12
hsa-miR-329-3p;16;5;21;5;9;18;15;14;66
hsa-miR-329-5p;3;2;1;0;3;5;2;3;21
hsa-miR-330-3p;13;5;14;24;11;8;17;15;50
hsa-miR-330-5p;89;47;63;121;78;74;107;38;368
hsa-miR-331-3p;560;152;323;523;290;317;391;442;1,561
hsa-miR-331-5p;123;49;74;110;120;107;72;91;589
hsa-miR-335-3p;200;261;188;357;328;568;279;221;1,956
hsa-miR-335-5p;1,395;569;833;1,185;1,237;1,229;1,025;1,444;5,539
hsa-miR-337-3p;6;3;6;5;6;13;3;9;52
hsa-miR-337-5p;28;15;26;28;32;29;35;41;114
hsa-miR-338-3p;60;42;58;58;59;63;70;53;268
hsa-miR-338-5p;6;0;4;2;6;3;4;3;18
hsa-miR-339-3p;286;81;170;224;200;228;192;245;1,095
hsa-miR-339-5p;894;290;448;659;1,107;1,188;697;1,317;5,711
hsa-miR-33a-3p;7;3;4;2;9;4;9;7;30
hsa-miR-33a-5p;164;104;88;116;68;64;98;62;344
hsa-miR-33b-3p;7;1;2;5;6;4;8;8;48
hsa-miR-33b-5p;114;64;62;76;46;38;84;35;165
hsa-miR-340-3p;40;20;31;42;11;18;21;4;74
hsa-miR-340-5p;953;447;534;808;882;1,031;707;665;4,260
hsa-miR-342-3p;1,809;429;960;1,695;1,472;1,661;1,352;1,959;8,128
hsa-miR-342-5p;18;4;14;21;22;21;10;13;59
hsa-miR-345-3p;6;0;1;1;5;10;1;7;36
hsa-miR-345-5p;259;108;148;196;224;235;194;252;1,179
hsa-miR-34a-3p;29;11;9;15;24;23;21;26;92
hsa-miR-34a-5p;12,976;5,162;7,284;9,697;10,175;9,733;8,283;10,362;46,958
hsa-miR-34b-3p;33;11;12;12;16;22;26;22;62
hsa-miR-34b-5p;114;43;39;55;49;48;69;42;267
hsa-miR-34c-3p;29;11;13;40;17;13;16;18;83
hsa-miR-34c-5p;414;136;179;246;190;202;231;209;1,001
hsa-miR-3605-3p;13;3;7;14;3;6;12;12;40
hsa-miR-3607-3p;4;2;7;5;5;1;4;2;19
hsa-miR-3609;3;3;3;2;0;5;3;0;10
hsa-miR-361-3p;1,122;332;575;848;475;440;779;645;2,336
hsa-miR-361-5p;2,113;771;1,368;2,021;1,439;1,774;1,705;1,470;8,188
hsa-miR-3611;33;17;18;30;20;16;28;16;102
hsa-miR-3613-3p;34;39;37;48;58;61;44;40;346
hsa-miR-3613-5p;405;226;247;376;238;264;397;152;1,216
hsa-miR-3614-3p;33;25;24;35;1;2;41;3;14
hsa-miR-3614-5p;110;33;83;100;6;2;77;2;18
hsa-miR-3615;100;19;61;141;48;47;109;63;360
hsa-miR-3616-3p;3;1;2;3;4;3;0;2;19
hsa-miR-3617-3p;4;1;2;2;2;3;2;3;17
hsa-miR-3619-3p;1;3;2;3;2;1;1;1;11
hsa-miR-3619-5p;2;2;1;1;1;4;1;3;15
hsa-miR-362-3p;14;7;9;10;14;18;7;9;59
hsa-miR-362-5p;71;49;32;71;52;118;56;31;347
hsa-miR-3620-3p;5;2;1;5;4;3;5;6;20
hsa-miR-3622a-5p;2;4;0;1;3;10;3;3;35
hsa-miR-3622b-3p;1;0;4;1;1;2;1;3;13
hsa-miR-363-3p;5;6;22;46;17;18;18;6;83
hsa-miR-3653-3p;1;1;1;1;0;3;1;0;15
hsa-miR-3653-5p;3;2;4;2;8;7;3;3;36
hsa-miR-3654;0;1;0;1;1;4;1;5;14
hsa-miR-3656;1;0;0;3;2;2;4;6;12
hsa-miR-3657;9;11;12;7;8;8;9;13;38
hsa-miR-3658;2;0;0;1;3;4;1;1;15
hsa-miR-365a-3p;3,024;1,583;1,993;3,446;1,088;1,442;3,177;698;5,832
hsa-miR-365a-5p;85;10;64;108;25;37;98;41;193
hsa-miR-365b-3p;2,537;1,246;1,597;2,649;1,780;2,487;2,453;1,301;9,769
hsa-miR-365b-5p;13;2;6;16;7;5;7;6;36
hsa-miR-3662;8;1;7;4;5;4;4;6;22
hsa-miR-3663-5p;1;1;2;4;2;4;2;2;12
hsa-miR-3664-3p;12;7;8;11;12;16;13;9;45
hsa-miR-3664-5p;0;2;0;1;1;0;1;3;11
hsa-miR-3666;2;7;5;5;1;1;7;3;31
hsa-miR-3667-3p;23;7;8;18;6;3;10;13;35
hsa-miR-3667-5p;4;1;0;2;1;2;3;0;12
hsa-miR-3674;1;2;1;1;0;2;1;0;11
hsa-miR-3675-5p;1;0;0;2;0;0;2;2;16
hsa-miR-3677-5p;3;3;1;2;2;2;3;3;13
hsa-miR-3679-5p;3;1;6;12;1;2;6;8;25
hsa-miR-3680-3p;2;0;2;4;8;2;2;1;16
hsa-miR-3682-3p;3;0;3;6;3;1;4;1;22
hsa-miR-3683;2;0;2;0;1;2;4;1;13
hsa-miR-3684;3;1;3;5;3;4;6;1;16
hsa-miR-3685;3;0;1;6;5;2;2;2;20
hsa-miR-3688-3p;1;1;1;3;4;4;2;2;15
hsa-miR-369-3p;61;61;43;68;64;110;83;40;402
hsa-miR-369-5p;45;19;31;33;42;52;39;48;231
hsa-miR-3691-3p;3;1;2;6;2;1;3;2;14
hsa-miR-3692-3p;51;25;27;33;49;53;22;49;213
hsa-miR-3692-5p;103;41;82;115;39;32;109;41;189
hsa-miR-370-3p;24;4;18;23;8;18;23;36;85
hsa-miR-370-5p;3;0;1;2;1;1;1;5;13
hsa-miR-371a-5p;3;2;2;2;3;2;3;6;17
hsa-miR-371b-3p;3;1;1;4;9;5;1;8;43
hsa-miR-371b-5p;8;5;3;2;1;1;2;1;11
hsa-miR-374a-3p;812;364;494;572;553;508;511;630;2,677
hsa-miR-374a-5p;4,991;4,936;3,782;5,472;4,583;6,236;4,929;2,437;25,313
hsa-miR-374b-3p;72;41;53;53;66;98;64;108;368
hsa-miR-374b-5p;883;690;651;1,052;690;1,267;808;410;4,155
hsa-miR-374c-5p;5;1;1;1;3;0;2;2;13
hsa-miR-375;21;33;36;54;68;77;55;17;353
hsa-miR-376a-2-5p;6;5;6;7;1;3;4;5;20
hsa-miR-376a-3p;102;51;46;91;103;89;73;132;396
hsa-miR-376a-5p;8;7;4;14;2;6;15;6;32
hsa-miR-376b-3p;92;59;90;79;60;30;81;43;217
hsa-miR-376b-5p;4;1;0;5;4;4;5;2;11
hsa-miR-376c-3p;240;174;170;260;201;293;265;147;1,073
hsa-miR-376c-5p;10;4;8;6;12;14;8;17;50
hsa-miR-377-3p;47;62;52;82;42;64;64;19;212
hsa-miR-378a-3p;827;531;695;1,093;623;1,167;968;365;4,242
hsa-miR-378a-5p;126;53;66;86;87;92;81;96;399
hsa-miR-378c;85;34;75;94;74;78;110;28;368
hsa-miR-378d;15;18;12;25;16;17;18;11;70
hsa-miR-378e;1;2;6;2;4;5;4;2;12
hsa-miR-378f;3;2;2;5;5;7;3;3;11
hsa-miR-378g;5;1;3;4;1;1;6;4;17
hsa-miR-378h;1;1;3;2;3;5;1;0;10
hsa-miR-378i;6;4;5;4;2;7;1;5;25
hsa-miR-379-3p;5;3;2;3;5;4;3;7;30
hsa-miR-379-5p;126;49;98;133;115;125;91;191;636
hsa-miR-381-3p;190;91;134;171;239;243;154;228;1,200
hsa-miR-381-5p;16;5;3;11;30;24;20;38;142
hsa-miR-382-3p;9;5;9;13;10;11;10;12;77
hsa-miR-382-5p;131;49;69;110;92;91;80;137;458
hsa-miR-383-5p;3;1;0;2;1;3;3;1;15
hsa-miR-3910;6;0;1;3;2;5;2;2;20
hsa-miR-3912-3p;3;0;6;4;7;8;5;0;22
hsa-miR-3913-3p;2;1;1;0;7;2;2;4;16
hsa-miR-3913-5p;15;3;10;15;17;8;4;14;68
hsa-miR-3915;8;0;6;7;7;3;7;7;29
hsa-miR-3916;2;3;0;5;0;3;3;3;15
hsa-miR-3922-5p;2;1;0;0;2;2;2;4;17
hsa-miR-3928-3p;4;2;4;10;3;3;2;7;13
hsa-miR-3928-5p;5;1;2;0;1;3;0;3;15
hsa-miR-3934-3p;6;2;4;2;2;4;5;5;14
hsa-miR-3934-5p;8;7;7;22;1;5;10;6;28
hsa-miR-3936;4;3;4;4;4;2;2;0;16
hsa-miR-3937;2;1;1;4;5;8;5;8;56
hsa-miR-3940-3p;6;2;4;7;2;3;9;6;14
hsa-miR-3940-5p;3;0;2;2;3;4;1;0;13
hsa-miR-3941;5;0;5;4;1;2;3;2;18
hsa-miR-3942-3p;1;0;0;1;1;2;3;1;22
hsa-miR-3942-5p;3;2;2;0;2;2;3;1;19
hsa-miR-3943;1;10;20;10;9;1;3;2;13
hsa-miR-3944-3p;0;0;0;3;1;4;2;3;11
hsa-miR-3945;7;0;1;4;4;5;5;20;41
hsa-miR-3974;3;4;1;8;2;4;4;2;16
hsa-miR-3978;1;3;5;0;10;10;3;6;40
hsa-miR-409-3p;97;37;60;89;155;162;72;219;707
hsa-miR-409-5p;21;8;16;32;20;23;27;20;105
hsa-miR-410-3p;1;1;1;0;1;0;0;0;12
hsa-miR-410-5p;2;3;1;1;3;3;1;1;10
hsa-miR-411-3p;4;1;4;2;0;4;0;1;14
hsa-miR-411-5p;105;32;79;78;84;87;70;97;425
hsa-miR-421;580;185;355;541;262;255;432;264;1,171
hsa-miR-423-3p;1,041;511;786;1,854;1,040;2,200;1,202;935;8,398
hsa-miR-423-5p;2,321;367;1,466;3,400;1,265;1,346;2,292;2,305;7,619
hsa-miR-424-3p;81;24;52;93;62;57;72;70;316
hsa-miR-424-5p;1,539;1,213;1,407;1,633;1,679;1,411;1,414;1,276;7,481
hsa-miR-425-3p;124;47;99;100;103;100;110;101;506
hsa-miR-425-5p;1,006;554;893;1,697;1,644;2,627;1,274;987;10,718
hsa-miR-4252;0;0;3;0;0;1;0;0;16
hsa-miR-4254;8;1;5;6;6;3;4;4;26
hsa-miR-4257;4;0;2;2;0;2;1;5;11
hsa-miR-4259;4;2;1;6;2;3;1;2;16
hsa-miR-4263;3;1;2;3;4;8;3;2;21
hsa-miR-4269;5;0;1;1;5;7;1;4;34
hsa-miR-4270;4;2;2;6;7;4;4;10;28
hsa-miR-4271;31;8;18;29;31;38;26;82;164
hsa-miR-4272;148;73;79;86;67;82;106;117;457
hsa-miR-4273;20;6;9;10;16;23;6;21;115
hsa-miR-4274;2;3;0;5;3;2;1;7;11
hsa-miR-4275;2;1;1;1;1;0;3;0;12
hsa-miR-4280;2;0;1;1;3;1;1;2;12
hsa-miR-4281;8;4;6;8;5;10;11;5;32
hsa-miR-4286;146;64;124;176;71;70;194;57;406
hsa-miR-4288;1;0;0;2;0;0;1;1;13
hsa-miR-429;288;237;321;424;80;65;354;55;373
hsa-miR-4290;8;0;1;1;4;2;1;10;23
hsa-miR-4295;2;3;8;2;6;3;3;2;16
hsa-miR-4301;21;5;20;31;7;14;27;12;65
hsa-miR-4302;1;1;1;3;4;3;2;5;13
hsa-miR-4304;418;123;308;478;187;153;457;204;931
hsa-miR-4305;2;1;1;3;2;3;4;1;17
hsa-miR-4306;0;3;2;1;0;1;4;0;11
hsa-miR-4307;3;0;1;1;7;4;0;4;30
hsa-miR-431-5p;42;47;40;76;38;56;53;18;183
hsa-miR-4312;49;4;18;25;37;29;31;60;227
hsa-miR-4317;2;3;5;5;2;0;3;0;14
hsa-miR-432-5p;119;50;84;83;78;71;92;115;376
hsa-miR-4324;45;14;22;38;37;31;24;43;168
hsa-miR-4326;48;25;48;70;47;52;48;22;254
hsa-miR-4328;1;0;0;1;0;0;0;1;12
hsa-miR-4419b;1;0;1;1;1;0;2;2;10
hsa-miR-4421;2;2;1;0;1;3;2;3;10
hsa-miR-4423-3p;2;1;0;1;0;1;1;0;16
hsa-miR-4423-5p;44;2;18;24;42;32;19;47;180
hsa-miR-4424;3;2;1;5;1;6;1;3;20
hsa-miR-4429;5;1;7;9;3;2;7;5;32
hsa-miR-4430;3;0;3;5;8;7;4;8;33
hsa-miR-4433b-3p;0;1;0;0;1;1;0;0;10
hsa-miR-4434;1;0;1;10;1;6;5;4;42
hsa-miR-4438;10;7;8;12;8;6;5;20;54
hsa-miR-4440;6;3;2;41;3;2;3;7;23
hsa-miR-4442;44;10;28;21;64;62;20;46;257
hsa-miR-4443;8;1;4;7;3;3;13;5;14
hsa-miR-4445-3p;0;0;1;1;1;0;0;0;12
hsa-miR-4450;3;1;0;0;3;4;4;4;17
hsa-miR-4453;3;2;3;1;5;2;5;5;17
hsa-miR-4454;218;139;143;212;292;323;245;232;1,540
hsa-miR-4455;5;3;7;2;11;5;3;8;45
hsa-miR-4456;21;14;19;18;28;15;22;30;211
hsa-miR-4457;2;2;3;0;1;2;3;1;10
hsa-miR-4458;67;27;43;64;74;91;56;74;467
hsa-miR-4459;3;2;1;1;2;1;0;1;11
hsa-miR-4460;4;2;1;1;1;3;2;7;17
hsa-miR-4461;10;4;9;9;14;20;7;15;105
hsa-miR-4462;6;4;2;8;10;7;3;14;53
hsa-miR-4466;4;4;3;6;5;5;3;4;18
hsa-miR-4469;0;1;3;8;0;4;2;3;13
hsa-miR-4471;1;0;0;2;1;1;1;1;13
hsa-miR-4472;151;118;70;156;169;402;126;123;1,252
hsa-miR-4473;9;2;4;3;5;5;7;5;31
hsa-miR-4474-3p;6;3;4;3;0;2;5;1;17
hsa-miR-4477b;7;1;6;3;9;7;4;9;28
hsa-miR-4481;1;2;0;0;4;5;1;2;38
hsa-miR-4482-5p;3;2;4;1;11;8;1;5;39
hsa-miR-4483;261;119;217;280;380;373;214;370;2,216
hsa-miR-4484;138;51;80;131;145;205;109;196;792
hsa-miR-4485-3p;9;3;4;10;8;6;13;10;27
hsa-miR-4493;17;8;7;15;8;8;4;4;35
hsa-miR-449a;63;34;48;62;11;12;49;12;44
hsa-miR-449b-5p;5;5;8;12;3;1;10;1;2
hsa-miR-449c-3p;2;3;7;5;2;8;5;6;34
hsa-miR-449c-5p;33;17;20;39;57;58;34;42;366
hsa-miR-4501;3;6;4;8;3;4;3;2;18
hsa-miR-4502;1;1;2;3;1;1;4;4;17
hsa-miR-450a-1-3p;18;7;15;22;16;19;17;15;84
hsa-miR-450a-2-3p;11;3;2;10;11;9;8;6;52
hsa-miR-450a-5p;62;49;56;72;45;59;61;30;246
hsa-miR-450b-3p;5;3;6;5;3;3;10;3;18
hsa-miR-450b-5p;273;135;183;272;271;286;271;213;1,395
hsa-miR-4510;20;9;13;30;23;15;16;33;98
hsa-miR-4514;3;2;1;3;2;1;2;1;18
hsa-miR-4515;127;44;136;245;12;16;146;12;63
hsa-miR-4519;3;1;2;2;4;8;2;2;24
hsa-miR-451a;142;62;1,485;3,624;1,343;227;1,538;91;5,422
hsa-miR-451b;4;0;3;11;2;2;4;1;14
hsa-miR-452-5p;980;424;677;941;1,155;1,175;818;1,091;5,587
hsa-miR-4521;13;4;4;11;11;13;9;19;62
hsa-miR-4523;0;2;0;2;0;2;1;1;13
hsa-miR-4533;2;0;1;1;2;0;0;0;10
hsa-miR-4537;1;0;1;3;0;1;2;0;10
hsa-miR-454-3p;3,233;1,189;1,908;2,563;2,117;2,182;1,986;2,051;9,981
hsa-miR-454-5p;33;17;23;32;34;56;33;26;254
hsa-miR-455-3p;484;234;284;366;70;64;369;59;310
hsa-miR-455-5p;3,221;1,488;1,874;2,491;425;424;2,144;388;1,875
hsa-miR-4634;4;1;12;12;10;13;15;4;51
hsa-miR-4635;6;0;6;8;1;6;3;3;12
hsa-miR-4638-3p;7;1;11;6;3;1;7;3;24
hsa-miR-4639-5p;1;2;1;0;2;0;1;1;13
hsa-miR-4640-3p;2;2;3;3;3;2;3;2;16
hsa-miR-4642;2;2;2;1;2;0;0;1;10
hsa-miR-4644;5;3;3;12;2;3;4;4;16
hsa-miR-4645-3p;6;2;2;3;2;2;6;2;15
hsa-miR-4650-5p;1;0;2;1;4;1;2;2;15
hsa-miR-4652-3p;7;1;9;5;2;6;4;4;27
hsa-miR-4652-5p;1;0;2;2;2;1;0;2;17
hsa-miR-4653-3p;5;0;0;1;2;2;2;2;14
hsa-miR-4654;4;2;1;6;4;0;4;0;14
hsa-miR-4659a-3p;4;5;2;5;3;6;5;1;17
hsa-miR-466;14;3;7;3;4;0;2;6;16
hsa-miR-4660;26;4;20;31;7;9;16;17;77
hsa-miR-4661-5p;6;2;9;13;18;7;5;10;63
hsa-miR-4664-3p;1;0;2;3;2;8;4;3;15
hsa-miR-4664-5p;9;3;11;7;13;10;7;12;48
hsa-miR-4667-3p;2;2;2;2;2;2;3;4;21
hsa-miR-4667-5p;2;0;1;4;1;3;2;5;25
hsa-miR-4668-3p;5;0;7;2;9;2;2;9;34
hsa-miR-4668-5p;172;17;44;94;102;90;64;240;578
hsa-miR-4671-3p;2;2;1;4;1;3;4;5;21
hsa-miR-4673;4;0;0;1;2;4;1;5;22
hsa-miR-4676-3p;1;4;3;3;1;5;9;1;15
hsa-miR-4677-3p;15;10;14;21;9;8;14;21;40
hsa-miR-4677-5p;2;3;7;10;4;9;11;7;29
hsa-miR-4679;4;4;6;4;6;4;11;3;10
hsa-miR-4682;4;1;1;1;3;2;2;4;21
hsa-miR-4692;2;0;0;0;3;3;2;2;21
hsa-miR-4694-5p;4;2;10;9;0;2;13;6;8
hsa-miR-4698;3;0;3;0;4;2;1;0;11
hsa-miR-4701-5p;5;1;2;3;1;4;2;2;15
