;A549CM8_S5-READs;A549CM4_S8-READs;A549CM1_S5-READs;A549CM2_S6-READs;A549KM4_S4-READs;A549KM1_S2-READs;A549CM3_S7-READs;A549KM0220321_S1-READs;A549KM2_S3-READs
hsa-miR-4703-5p;6;1;4;5;8;1;3;2;28
hsa-miR-4706;4;1;1;10;1;2;0;0;10
hsa-miR-4710;1;0;3;3;4;2;0;7;19
hsa-miR-4711-3p;1;0;1;0;1;2;0;1;12
hsa-miR-4713-3p;9;3;8;7;9;11;9;21;60
hsa-miR-4713-5p;5;1;3;5;4;6;0;3;21
hsa-miR-4714-3p;20;6;9;14;6;7;17;13;41
hsa-miR-4716-5p;8;2;5;5;5;6;2;9;40
hsa-miR-4717-3p;0;1;0;1;0;0;0;3;10
hsa-miR-4717-5p;2;1;2;2;1;1;0;8;21
hsa-miR-4719;1;1;1;1;2;3;2;2;19
hsa-miR-4721;15;8;6;14;14;14;14;19;53
hsa-miR-4723-3p;2;0;1;2;0;2;1;1;12
hsa-miR-4723-5p;2;13;6;8;7;8;11;1;61
hsa-miR-4725-3p;10;1;2;10;1;2;4;1;16
hsa-miR-4725-5p;1;0;3;2;3;2;2;4;12
hsa-miR-4726-3p;0;1;2;0;1;1;3;2;17
hsa-miR-4727-5p;2;1;2;1;0;4;3;2;10
hsa-miR-4728-5p;1;0;0;3;1;0;0;0;11
hsa-miR-4729;176;110;99;112;161;160;177;116;771
hsa-miR-4730;5;2;2;11;1;1;2;6;22
hsa-miR-4731-3p;0;2;1;0;0;4;3;1;16
hsa-miR-4732-3p;3;0;13;34;18;3;16;1;45
hsa-miR-4732-5p;85;21;50;88;40;42;96;51;248
hsa-miR-4734;7;10;6;9;3;0;7;1;4
hsa-miR-4740-5p;2;0;0;9;0;1;7;3;15
hsa-miR-4743-3p;7;1;2;3;5;4;4;2;21
hsa-miR-4745-5p;1;0;2;1;0;1;1;4;11
hsa-miR-4746-5p;4;0;1;2;1;3;5;6;17
hsa-miR-4747-3p;1;0;0;4;2;3;1;0;13
hsa-miR-4753-3p;2;0;1;2;3;1;0;2;15
hsa-miR-4753-5p;2;0;2;3;0;2;2;4;12
hsa-miR-4755-5p;1;0;1;4;4;4;1;2;22
hsa-miR-4757-3p;0;1;3;2;2;1;0;1;14
hsa-miR-4757-5p;4;4;5;2;3;4;7;6;17
hsa-miR-4758-3p;5;2;2;2;4;0;4;4;13
hsa-miR-4762-5p;4;4;3;2;5;2;4;1;25
hsa-miR-4763-5p;2;1;5;1;1;2;2;3;14
hsa-miR-4764-3p;4;2;1;2;3;4;1;4;18
hsa-miR-4766-3p;8;7;1;4;5;5;5;2;20
hsa-miR-4768-5p;1;1;3;2;0;2;2;3;16
hsa-miR-4769-3p;3;1;4;2;6;4;0;3;25
hsa-miR-4772-3p;2;0;4;2;1;3;2;4;16
hsa-miR-4772-5p;0;0;2;3;0;2;1;0;21
hsa-miR-4773;14;2;7;8;1;0;6;1;7
hsa-miR-4775;6;1;5;7;9;9;5;4;21
hsa-miR-4778-3p;17;6;10;16;25;31;15;44;251
hsa-miR-4778-5p;7;5;3;2;4;5;2;6;25
hsa-miR-4779;6;1;1;4;1;1;2;1;11
hsa-miR-4781-3p;1;1;3;2;0;3;1;4;11
hsa-miR-4782-5p;1;2;1;1;2;0;0;1;18
hsa-miR-4784;1,598;312;1,084;2,032;547;541;1,550;1,079;3,405
hsa-miR-4785;4;0;2;4;1;2;3;1;24
hsa-miR-4786-5p;3;6;5;4;2;8;5;2;23
hsa-miR-4787-5p;0;1;1;2;1;2;2;4;13
hsa-miR-4788;1;0;4;7;4;2;1;1;15
hsa-miR-4789-5p;1;1;1;1;2;1;5;1;18
hsa-miR-4791;17;4;8;12;9;6;13;4;60
hsa-miR-4793-5p;6;1;2;1;1;1;4;4;14
hsa-miR-4794;10;6;2;1;1;3;7;2;8
hsa-miR-4795-3p;2;1;1;0;3;3;1;2;18
hsa-miR-4796-3p;10;4;5;14;8;15;1;7;42
hsa-miR-4796-5p;6;1;4;3;3;3;5;0;18
hsa-miR-4798-5p;0;3;2;0;1;2;1;1;16
hsa-miR-4800-3p;2;0;0;0;3;1;1;0;14
hsa-miR-4800-5p;1;1;3;2;2;3;1;0;15
hsa-miR-4802-5p;3;6;7;5;4;6;5;2;23
hsa-miR-4804-3p;2;1;0;4;4;4;5;4;20
hsa-miR-483-3p;100;17;68;110;49;61;90;267;279
hsa-miR-483-5p;31;2;17;39;15;14;27;133;96
hsa-miR-484;802;337;596;1,205;603;857;953;339;4,136
hsa-miR-485-3p;22;7;12;29;30;32;30;62;177
hsa-miR-485-5p;2;1;3;9;7;5;5;7;20
hsa-miR-486-3p;24;10;121;246;96;21;110;16;407
hsa-miR-486-5p;393;106;2,548;6,526;2,402;465;2,863;278;9,858
hsa-miR-487a-3p;3;1;3;6;1;9;1;1;25
hsa-miR-487b-3p;42;33;45;57;60;65;69;44;278
hsa-miR-487b-5p;3;2;2;5;0;2;2;5;31
hsa-miR-488-3p;0;1;3;4;2;2;3;2;14
hsa-miR-488-5p;1;0;1;0;0;0;3;5;15
hsa-miR-489-3p;7;2;7;8;2;5;6;3;26
hsa-miR-489-5p;0;0;0;1;0;1;1;1;14
hsa-miR-490-3p;0;1;3;3;0;0;1;3;13
hsa-miR-491-3p;3;4;5;2;2;5;5;7;22
hsa-miR-491-5p;74;24;47;92;54;65;67;54;268
hsa-miR-493-3p;17;9;12;19;17;11;8;22;44
hsa-miR-493-5p;51;22;25;42;38;46;46;35;248
hsa-miR-494-3p;136;51;76;112;102;109;119;131;483
hsa-miR-495-3p;3;5;4;2;1;7;5;3;34
hsa-miR-495-5p;2;2;3;4;4;2;4;5;16
hsa-miR-496;3;5;2;4;2;4;2;1;17
hsa-miR-497-3p;8;4;6;6;9;3;5;7;17
hsa-miR-497-5p;90;75;63;107;99;93;75;67;425
hsa-miR-499a-5p;12;3;6;3;8;7;4;6;53
hsa-miR-499b-3p;31;10;19;21;61;51;24;55;375
hsa-miR-5001-3p;6;6;16;12;9;14;15;11;63
hsa-miR-5001-5p;1;0;0;0;0;0;0;0;12
hsa-miR-5002-5p;3;0;2;5;5;0;1;1;14
hsa-miR-5003-3p;3;2;2;3;5;4;1;2;26
hsa-miR-5004-3p;4;1;3;2;4;2;5;5;23
hsa-miR-5006-3p;1;2;3;3;1;2;0;5;14
hsa-miR-5006-5p;2;0;0;2;2;1;1;3;12
hsa-miR-5008-3p;2;1;3;1;1;0;1;2;11
hsa-miR-5008-5p;8;5;11;12;7;12;8;8;45
hsa-miR-5009-3p;4;0;1;6;2;4;1;1;16
hsa-miR-5009-5p;3;1;0;6;5;1;2;5;24
hsa-miR-500a-3p;44;11;24;22;27;28;33;42;161
hsa-miR-500a-5p;43;37;33;38;27;37;35;14;135
hsa-miR-500b-3p;0;0;2;1;3;2;1;0;12
hsa-miR-500b-5p;16;14;10;22;16;44;26;8;143
hsa-miR-501-3p;31;8;21;45;10;30;22;23;109
hsa-miR-501-5p;113;31;77;117;46;56;91;70;355
hsa-miR-5010-3p;13;3;9;14;11;13;8;10;66
hsa-miR-5010-5p;2;1;2;1;1;3;2;3;10
hsa-miR-5011-5p;2;1;1;3;0;3;6;1;21
hsa-miR-502-3p;46;19;27;61;33;49;51;24;210
hsa-miR-502-5p;8;3;6;4;3;4;3;3;21
hsa-miR-503-3p;37;12;30;56;30;41;33;52;193
hsa-miR-503-5p;1,111;594;1,030;1,461;731;649;1,172;642;3,300
hsa-miR-505-3p;144;96;102;121;73;49;119;69;281
hsa-miR-505-5p;29;5;16;32;11;18;15;21;51
hsa-miR-506-5p;1;2;1;1;1;3;0;1;13
hsa-miR-508-3p;3;2;3;4;3;3;0;6;24
hsa-miR-5087;3;2;1;0;1;0;2;2;11
hsa-miR-5089-5p;5;1;3;4;16;6;3;5;67
hsa-miR-5090;0;0;0;4;0;0;1;2;13
hsa-miR-5091;2;1;0;2;0;0;1;5;12
hsa-miR-5093;0;0;1;1;2;2;2;0;10
hsa-miR-5094;4;2;7;7;4;2;3;5;15
hsa-miR-5095;6;3;3;3;1;2;5;2;15
hsa-miR-5096;22;5;16;25;32;24;14;30;145
hsa-miR-510-3p;179;74;125;219;196;134;191;143;866
hsa-miR-5100;27;16;22;34;24;17;32;13;91
hsa-miR-513a-3p;3;1;5;4;6;5;5;4;30
hsa-miR-515-5p;2;3;0;1;3;2;2;1;12
hsa-miR-516a-5p;4;1;0;1;2;2;0;5;13
hsa-miR-517b-3p;0;0;1;0;0;1;0;2;14
hsa-miR-5186;4;7;9;5;3;7;2;3;31
hsa-miR-5187-3p;4;3;4;3;6;1;3;5;19
hsa-miR-5187-5p;1;1;3;7;0;2;1;2;13
hsa-miR-5188;7;1;5;3;2;4;4;4;13
hsa-miR-5189-3p;4;2;0;3;1;4;1;3;16
hsa-miR-5190;4;1;1;5;2;5;0;3;14
hsa-miR-5194;12;2;1;7;25;17;3;28;97
hsa-miR-5195-3p;47;5;18;27;46;44;26;55;183
hsa-miR-5196-3p;2;1;3;3;4;0;2;1;15
hsa-miR-5196-5p;27;9;25;29;15;5;23;16;73
hsa-miR-520d-3p;17;8;8;15;3;10;15;11;33
hsa-miR-523-3p;5;0;3;5;4;5;3;4;28
hsa-miR-532-3p;87;28;51;112;79;64;68;96;304
hsa-miR-532-5p;359;106;211;262;308;281;235;388;1,498
hsa-miR-539-3p;24;11;15;16;30;34;14;20;116
hsa-miR-541-5p;8;3;4;9;2;2;6;3;25
hsa-miR-542-3p;787;312;426;480;506;451;450;603;2,131
hsa-miR-542-5p;80;30;41;98;51;68;58;76;314
hsa-miR-543;5;6;6;5;9;19;10;10;51
hsa-miR-544a;4;1;3;4;2;8;5;4;25
hsa-miR-545-3p;48;41;43;51;35;29;43;31;182
hsa-miR-545-5p;33;24;27;25;30;25;24;25;127
hsa-miR-548a;4;4;0;1;2;2;9;6;29
hsa-miR-548a-3p;78;40;48;75;44;40;57;32;163
hsa-miR-548a-5p;11;6;1;4;6;3;3;4;15
hsa-miR-548ad-5p;7;8;11;14;14;18;13;9;62
hsa-miR-548ae-5p;3;0;3;3;5;5;3;2;17
hsa-miR-548an;8;5;5;4;1;3;5;2;10
hsa-miR-548ao-3p;14;5;8;11;12;11;5;17;81
hsa-miR-548ao-5p;2;0;3;0;4;2;5;3;21
hsa-miR-548ap-3p/548t-3p/548aa;52;25;46;64;56;54;42;54;264
hsa-miR-548ap-5p/548j-5p;16;2;8;5;5;13;15;9;72
hsa-miR-548aq-3p;18;8;14;17;11;13;10;11;45
hsa-miR-548aq-5p;3;0;1;4;4;4;2;2;11
hsa-miR-548ar-5p;6;1;2;8;3;3;1;5;20
hsa-miR-548as-3p;17;8;8;11;8;9;12;5;34
hsa-miR-548as-5p;3;5;4;3;5;1;8;1;18
hsa-miR-548au-5p/548c-5p/548o-5p/548am-5p;82;52;55;79;64;64;77;26;330
hsa-miR-548av-5p/548k;11;18;5;14;17;15;17;5;79
hsa-miR-548ay-3p;6;2;3;4;3;5;6;3;24
hsa-miR-548ay-5p;7;3;7;5;6;11;7;7;47
hsa-miR-548az-5p;3;2;1;2;2;1;1;2;11
hsa-miR-548b-3p;3;1;1;0;1;1;1;2;10
hsa-miR-548b-5p;2;2;2;2;5;3;1;0;12
hsa-miR-548bb-5p;2;1;2;1;2;1;1;4;18
hsa-miR-548c-3p;2;2;1;3;3;2;2;0;17
hsa-miR-548d-3p;2;0;3;1;5;6;3;6;14
hsa-miR-548d-5p;43;16;28;34;18;29;30;14;120
hsa-miR-548e-3p;16;21;20;26;26;30;23;10;147
hsa-miR-548e-5p;13;8;1;10;10;17;14;8;47
hsa-miR-548f-3p;1;4;0;2;3;7;2;3;22
hsa-miR-548f-5p;8;1;3;5;14;14;1;13;62
hsa-miR-548g-3p;7;4;3;8;8;15;6;9;44
hsa-miR-548h-3p;75;51;74;89;101;112;67;86;709
hsa-miR-548h-5p;7;6;10;9;7;6;3;1;26
hsa-miR-548l;332;169;204;290;168;163;320;131;842
hsa-miR-548n;10;10;15;19;24;25;10;20;116
hsa-miR-548o-3p;6;2;4;8;6;3;7;4;25
hsa-miR-548q;4;3;3;4;5;2;6;0;20
hsa-miR-548t-5p;15;5;10;20;2;1;23;7;17
hsa-miR-548u;6;3;2;3;5;3;3;5;13
hsa-miR-548v;10;2;3;6;20;28;6;15;124
hsa-miR-548z;11;8;2;7;12;17;10;11;55
hsa-miR-549a;12;6;6;10;2;2;15;0;11
hsa-miR-550a-3p;40;49;30;51;35;41;49;17;183
hsa-miR-550a-5p;3;1;1;8;4;3;4;4;17
hsa-miR-551a;12;2;1;8;7;10;5;6;24
hsa-miR-551b-3p;2;1;2;1;5;3;1;1;14
hsa-miR-552-3p;3;3;0;3;3;7;2;8;28
hsa-miR-552-5p;13;6;9;3;6;6;11;3;29
hsa-miR-553;0;0;0;3;1;1;0;0;10
hsa-miR-555;4;3;3;2;6;3;5;10;35
hsa-miR-556-3p;12;8;1;5;3;5;8;3;42
hsa-miR-556-5p;1;5;2;1;2;2;0;3;15
hsa-miR-5579-5p;2;0;2;3;3;3;0;0;17
hsa-miR-558;14;5;3;4;33;36;8;54;167
hsa-miR-5580-3p;1;1;3;0;2;0;3;1;10
hsa-miR-5582-3p;4;1;1;0;2;5;0;3;22
hsa-miR-5583-3p;2;2;2;1;1;1;0;0;15
hsa-miR-5584-3p;4;2;1;1;5;3;4;4;17
hsa-miR-5585-3p;3;0;2;1;1;1;3;2;10
hsa-miR-5587-3p;12;7;11;15;0;0;9;1;12
hsa-miR-5588-5p;1;0;0;1;1;4;1;1;10
hsa-miR-5591-3p;2;3;2;3;6;8;2;1;13
hsa-miR-561-3p;7;8;9;1;7;9;6;9;48
hsa-miR-561-5p;27;17;21;22;53;32;19;21;117
hsa-miR-5681b;1;0;2;0;2;2;2;3;11
hsa-miR-5682;2;1;4;4;2;6;4;1;13
hsa-miR-5687;0;0;2;2;1;3;2;6;15
hsa-miR-5690;11;2;1;6;3;4;2;3;25
hsa-miR-5692a;1;2;6;5;3;3;2;7;25
hsa-miR-5692b;7;10;5;3;8;10;7;12;70
hsa-miR-5694;5;17;28;162;38;34;98;30;390
hsa-miR-5695;1;0;0;2;0;0;0;1;12
hsa-miR-5698;1;1;0;0;0;0;2;1;19
hsa-miR-5699-3p;33;19;19;16;35;41;16;27;152
hsa-miR-5699-5p;9;2;8;11;7;10;8;8;53
hsa-miR-570-3p;43;15;11;30;33;27;32;20;98
hsa-miR-570-5p;5;2;1;1;1;3;2;6;14
hsa-miR-5704;3;0;0;2;0;4;1;1;23
hsa-miR-5706;8;0;1;4;2;1;4;3;18
hsa-miR-5707;0;1;1;1;2;3;2;3;15
hsa-miR-5708;2;0;1;1;3;3;1;3;14
hsa-miR-573;9;4;9;8;11;12;9;20;81
hsa-miR-574-3p;314;67;144;244;162;148;219;254;726
hsa-miR-574-5p;577;139;387;625;230;228;521;326;1,425
hsa-miR-576-3p;25;18;25;25;7;12;15;15;78
hsa-miR-576-5p;109;65;113;173;109;159;148;79;679
hsa-miR-577;6;3;1;3;4;1;3;2;26
hsa-miR-578;2;0;0;5;2;2;1;0;14
hsa-miR-579-3p;12;9;4;6;15;20;10;6;53
hsa-miR-579-5p;18;8;6;11;18;25;12;16;111
hsa-miR-580-3p;2;1;0;5;4;3;2;2;26
hsa-miR-582-3p;536;259;312;361;512;491;364;474;2,288
hsa-miR-582-5p;401;209;297;357;213;165;283;144;822
hsa-miR-584-3p;27;15;27;19;61;64;23;42;351
hsa-miR-584-5p;29;9;17;21;23;29;20;36;99
hsa-miR-585-3p;61;32;70;106;112;102;69;114;529
hsa-miR-585-5p;8;2;4;5;11;9;2;9;36
hsa-miR-586;83;22;48;46;87;74;46;106;470
hsa-miR-589-3p;32;21;24;29;32;26;21;35;154
hsa-miR-589-5p;141;40;81;122;138;113;136;126;661
hsa-miR-590-3p;1,196;588;737;895;754;907;779;714;3,557
hsa-miR-590-5p;93;40;28;53;55;48;52;39;228
hsa-miR-593-5p;2;2;3;2;1;2;1;4;13
hsa-miR-597-3p;5;3;5;2;7;4;3;2;28
hsa-miR-597-5p;9;6;6;8;5;6;2;7;35
hsa-miR-598-5p;4;1;1;2;0;1;1;2;15
hsa-miR-599;107;44;79;111;187;156;91;156;908
hsa-miR-601;1;2;0;18;2;4;8;7;46
hsa-miR-603;4;2;1;4;1;2;2;2;13
hsa-miR-606;0;1;1;0;1;1;2;1;16
hsa-miR-6069;10;6;9;10;12;14;6;6;43
hsa-miR-6071;164;38;88;116;60;47;121;80;316
hsa-miR-6072;1;2;2;2;1;2;0;4;20
hsa-miR-6073;0;0;1;1;2;2;1;1;11
hsa-miR-6076;0;0;1;3;1;1;1;3;16
hsa-miR-608;9;1;2;2;2;2;2;4;22
hsa-miR-6081;151;46;119;185;67;58;143;88;415
hsa-miR-6082;1;0;1;1;1;1;1;2;13
hsa-miR-6083;31;17;27;26;33;20;19;30;147
hsa-miR-610;4;1;2;0;2;3;2;4;22
hsa-miR-6124;2;0;0;1;0;0;3;4;21
hsa-miR-6126;942;275;904;1,430;368;344;1,147;466;2,200
hsa-miR-6127;1;0;1;1;0;0;4;2;13
hsa-miR-6128;4;1;3;4;7;4;0;16;42
hsa-miR-6130;3;1;3;1;3;1;4;6;13
hsa-miR-6131;0;0;0;0;0;1;1;0;14
hsa-miR-6133;3;1;5;6;1;4;8;4;30
hsa-miR-6134;4;1;5;4;2;1;2;7;14
hsa-miR-614;0;0;0;0;0;0;1;5;12
hsa-miR-615-3p;32;7;13;23;50;58;15;89;285
hsa-miR-615-5p;1;2;3;7;3;5;4;7;21
hsa-miR-616-5p;4;1;1;3;4;4;2;2;36
hsa-miR-618;6;6;9;6;4;15;9;3;45
hsa-miR-619-5p;3;1;8;12;4;3;5;7;25
hsa-miR-624-3p;1;8;3;8;8;2;6;5;36
hsa-miR-624-5p;16;13;13;19;11;7;13;8;70
hsa-miR-625-3p;250;71;175;865;175;216;656;279;2,593
hsa-miR-625-5p;247;32;101;140;89;75;130;144;501
hsa-miR-627-3p;8;1;3;3;9;6;4;3;30
hsa-miR-627-5p;16;3;18;19;22;22;24;10;75
hsa-miR-628-3p;74;30;38;80;52;64;44;61;288
hsa-miR-628-5p;121;47;65;89;61;97;85;54;401
hsa-miR-629-3p;25;6;16;15;14;25;14;15;67
hsa-miR-629-5p;459;147;254;372;332;373;283;391;1,696
hsa-miR-636;11;1;12;9;6;7;9;10;35
hsa-miR-640;1;0;1;0;0;0;0;2;10
hsa-miR-641;57;21;37;43;41;48;42;33;228
hsa-miR-642a-3p;0;0;1;3;3;8;1;3;16
hsa-miR-642a-5p;10;4;5;14;15;11;7;15;63
hsa-miR-643;13;12;7;9;12;16;19;8;83
hsa-miR-6499-3p;8;3;2;3;7;11;2;6;29
hsa-miR-650;1;1;0;0;1;1;0;2;15
hsa-miR-6500-3p;1;1;6;3;1;2;0;4;11
hsa-miR-6500-5p;5;1;2;5;0;1;2;5;18
hsa-miR-6501-5p;42;14;54;87;9;9;68;4;27
hsa-miR-6502-3p;3;0;2;4;1;0;2;1;18
hsa-miR-6504-3p;15;4;4;6;15;22;6;25;85
hsa-miR-6505-3p;2;0;0;3;2;0;4;2;17
hsa-miR-6505-5p;1;0;0;1;2;0;1;1;11
hsa-miR-6507-3p;4;5;10;7;11;11;8;10;58
hsa-miR-6509-3p;4;1;6;1;1;4;0;4;12
hsa-miR-651-3p;0;1;0;1;1;2;2;1;10
hsa-miR-651-5p;14;7;6;14;15;14;12;12;41
hsa-miR-6510-5p;2;0;0;0;1;1;0;1;11
hsa-miR-6511a-3p;5;2;3;7;2;2;2;2;20
hsa-miR-6511b-3p;3;1;1;5;1;2;6;5;13
hsa-miR-6513-3p;0;1;6;5;2;3;10;2;16
hsa-miR-6514-3p;0;0;3;3;1;2;1;2;14
hsa-miR-6514-5p;3;0;3;4;0;2;2;4;17
hsa-miR-6515-3p;6;2;1;7;1;2;2;3;14
hsa-miR-6516-5p;5;2;1;8;1;2;4;6;10
hsa-miR-652-3p;51;44;60;102;46;61;83;25;231
hsa-miR-652-5p;11;13;10;10;12;16;13;8;73
hsa-miR-653-3p;10;4;5;8;20;5;16;11;70
hsa-miR-653-5p;7;3;4;1;6;6;2;5;25
hsa-miR-654-3p;39;13;32;33;129;156;35;165;672
hsa-miR-655-3p;49;16;30;40;26;25;30;17;99
hsa-miR-656-3p;11;4;3;5;6;6;4;8;19
hsa-miR-658;7;4;10;8;8;7;9;5;37
hsa-miR-659-5p;0;0;1;3;1;5;3;4;14
hsa-miR-660-3p;6;4;4;4;5;6;2;4;14
hsa-miR-660-5p;345;128;181;216;291;286;224;272;1,505
hsa-miR-663b;2;0;1;1;3;2;0;3;18
hsa-miR-664a-3p;20;19;8;22;12;22;21;11;78
hsa-miR-664a-5p;30;11;15;36;27;25;21;22;102
hsa-miR-664b-3p;1;1;5;1;6;5;2;3;13
hsa-miR-664b-5p;9;0;7;4;6;2;11;5;8
hsa-miR-665;5;3;2;4;12;3;6;14;32
hsa-miR-670-5p;24;14;8;8;14;21;15;4;68
hsa-miR-671-3p;38;12;25;41;36;26;35;40;133
hsa-miR-671-5p;514;188;265;592;344;528;451;310;2,187
hsa-miR-6715b-3p;7;3;2;6;7;4;4;11;39
hsa-miR-6716-3p;1;1;1;5;11;7;9;8;62
hsa-miR-6717-5p;3;2;7;3;9;4;5;10;31
hsa-miR-6718-5p;21;3;10;19;0;1;10;2;14
hsa-miR-6720-3p;3;0;1;7;3;2;3;3;18
hsa-miR-6720-5p;5;3;4;6;3;10;5;5;35
hsa-miR-6721-5p;1;0;3;2;0;0;4;0;14
hsa-miR-6722-5p;1;0;3;1;1;0;2;0;12
hsa-miR-6723-5p;7;8;5;14;9;5;7;2;35
hsa-miR-6724-5p;6;1;7;10;5;6;9;14;31
hsa-miR-6727-5p;0;1;1;0;4;10;3;3;25
hsa-miR-6728-3p;2;1;2;2;4;2;0;3;15
hsa-miR-6728-5p;1;1;2;4;0;2;4;2;31
hsa-miR-6730-5p;5;3;1;4;2;1;3;2;11
hsa-miR-6731-5p;6;1;0;3;5;0;3;1;12
hsa-miR-6732-3p;5;3;4;2;8;6;1;7;18
hsa-miR-6733-5p;1;2;0;1;6;4;3;1;11
hsa-miR-6734-5p;4;0;4;6;7;8;6;8;26
hsa-miR-6736-3p;3;1;2;5;2;3;2;1;18
hsa-miR-6739-3p;4;2;0;1;1;1;2;0;14
hsa-miR-6739-5p;5;2;3;3;5;4;5;6;17
hsa-miR-6740-3p;2;0;2;2;2;6;0;4;16
hsa-miR-6740-5p;3;0;2;5;2;1;1;13;28
hsa-miR-6742-3p;0;1;2;2;0;1;1;0;12
hsa-miR-6743-5p;15;2;10;14;2;2;10;7;29
hsa-miR-6744-5p;0;1;2;2;1;1;3;0;18
hsa-miR-6747-3p;5;3;6;6;5;7;10;6;39
hsa-miR-6747-5p;13;0;8;8;35;44;11;55;171
hsa-miR-6749-3p;2;1;2;4;5;5;2;3;13
hsa-miR-6749-5p;0;0;2;1;0;1;1;0;15
hsa-miR-675-5p;0;0;0;0;3;2;0;0;13
hsa-miR-6751-5p;0;2;4;3;1;1;2;6;11
hsa-miR-6754-3p;13;5;11;22;8;6;15;13;68
hsa-miR-6754-5p;2;0;0;4;2;1;6;6;23
hsa-miR-6755-3p;3;1;1;3;1;0;0;3;17
hsa-miR-6755-5p;26;18;32;31;43;63;22;43;243
hsa-miR-6756-3p;2;1;2;1;1;3;5;0;11
hsa-miR-6757-5p;2;1;0;3;1;4;1;1;12
hsa-miR-6758-3p;6;0;2;4;0;4;3;1;15
hsa-miR-6758-5p;1;3;2;2;7;4;5;4;23
hsa-miR-6759-3p;1;0;1;3;3;3;4;5;22
hsa-miR-676-3p;5;0;3;1;5;6;4;3;18
hsa-miR-6760-3p;10;3;4;5;15;9;4;13;67
hsa-miR-6761-5p;2;1;3;2;2;4;1;6;14
hsa-miR-6763-3p;10;4;7;11;5;3;10;3;10
hsa-miR-6765-3p;1;1;0;4;2;0;0;1;15
hsa-miR-6766-3p;1;2;3;1;3;3;2;1;11
hsa-miR-6766-5p;1;1;1;1;0;0;2;3;20
hsa-miR-6768-5p;2;2;3;3;4;1;4;1;15
hsa-miR-6769a-3p;12;0;3;5;0;2;5;2;4
hsa-miR-6769b-3p;10;0;2;14;5;7;8;4;40
hsa-miR-6769b-5p;5;0;1;3;1;4;8;2;10
hsa-miR-6770-3p;1;1;0;0;0;1;2;6;14
hsa-miR-6771-3p;10;13;17;15;3;7;13;14;23
hsa-miR-6771-5p;4;2;1;3;2;1;5;5;22
hsa-miR-6772-3p;4;1;5;3;1;0;2;4;14
hsa-miR-6775-5p;7;14;16;18;9;12;28;6;52
hsa-miR-6777-3p;4;1;0;2;5;5;5;1;15
hsa-miR-6779-5p;5;0;4;4;1;2;1;4;19
hsa-miR-6780a-3p;1;1;3;1;1;2;2;2;11
hsa-miR-6781-3p;2;4;2;3;5;2;4;2;13
hsa-miR-6781-5p;1;1;2;1;3;2;0;3;24
hsa-miR-6782-3p;8;1;3;6;9;6;8;9;30
hsa-miR-6783-3p;2;1;1;2;3;5;1;3;26
hsa-miR-6783-5p;3;1;3;2;4;1;3;0;15
hsa-miR-6785-5p;31;9;18;46;56;72;39;71;359
hsa-miR-6786-3p;1;1;1;6;2;3;0;0;12
hsa-miR-6789-5p;6;1;3;3;3;4;3;12;10
hsa-miR-6791-3p;4;0;3;5;3;2;2;2;17
hsa-miR-6791-5p;0;0;1;2;3;1;0;0;11
hsa-miR-6792-3p;12;2;3;16;21;25;9;17;87
hsa-miR-6793-5p;1;2;2;4;4;2;1;4;14
hsa-miR-6795-3p;1;2;0;2;2;0;0;5;15
